artist_genres,track_uri,track_name,artist_name
puerto rican pop,spotify:track:1zsPaEkglFvxjAhrM8yhpr,Hey Mor,Ozuna
puerto rican pop,spotify:track:79HZAZNnOE97rb2hnI0XQr,LOKERA,Rauw Alejandro
puerto rican pop,spotify:track:2TDyyEBasw10wu5Uh94bR1,PUNTO 40,Rauw Alejandro
puerto rican pop,spotify:track:6mmPpaltUZK7xjNlBPQQ0p,Desesperados,Rauw Alejandro
