artist_genres,track_uri,track_name,artist_name
pop,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles
pop,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift
