artist_genres,track_uri,track_name,artist_name
latin hip hop,spotify:track:5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,Tego Calderón
latin hip hop,spotify:track:6DoL1yYIwEW7VZMRaJhoJI,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi
